                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                 1.0144,                 0.7131,                  1.258,                0.90008,                0.86636,                0.91296,                0.48889,                 1.7291,                0.77673,                   2.04,             0.00029061,             0.00029061,             0.00029061
                     60,                  1.031,                 0.7262,                 1.2695,                0.80362,                0.84129,                0.85924,                 0.4707,                  1.776,                0.86479,                 2.0777,             0.00028401,             0.00028401,             0.00028401
                     61,                 1.0171,                0.71659,                 1.2636,                0.86373,                0.82042,                0.87526,                0.46331,                  1.775,                 0.8217,                 2.0807,             0.00027741,             0.00027741,             0.00027741
                     62,                  1.016,                0.72235,                 1.2631,                0.85156,                0.85162,                0.86413,                0.46855,                 1.7735,                0.85213,                   2.09,              0.0002708,              0.0002708,              0.0002708
                     63,                 1.0002,                0.69237,                 1.2587,                0.86828,                0.81459,                0.87054,                0.45242,                 1.7753,                0.87884,                 2.0737,              0.0002642,              0.0002642,              0.0002642
                     64,                0.99245,                0.70484,                 1.2497,                0.85047,                0.85535,                0.86777,                0.46246,                 1.8036,                0.86545,                 2.1071,              0.0002576,              0.0002576,              0.0002576
                     65,                0.97839,                0.66812,                 1.2397,                0.83378,                0.86433,                0.87073,                0.45213,                 1.8078,                0.82299,                  2.137,             0.00025099,             0.00025099,             0.00025099
                     66,                0.96263,                 0.6783,                 1.2349,                0.86363,                0.87454,                0.88452,                0.45594,                  1.815,                0.83894,                  2.152,             0.00024439,             0.00024439,             0.00024439
                     67,                0.96476,                0.67845,                 1.2411,                0.82645,                0.85833,                0.87267,                0.47189,                 1.7775,                0.86003,                 2.1301,             0.00023779,             0.00023779,             0.00023779
                     68,                 0.9305,                0.65299,                 1.2106,                0.87276,                0.84835,                0.87626,                0.46602,                 1.8158,                0.83524,                 2.1817,             0.00023118,             0.00023118,             0.00023118
                     69,                0.94592,                0.65226,                 1.2233,                0.83907,                0.84237,                0.85849,                0.45874,                 1.8094,                0.81073,                 2.1493,             0.00022458,             0.00022458,             0.00022458
                     70,                0.91518,                0.63767,                 1.2015,                0.86454,                0.85979,                0.86224,                0.45367,                 1.8158,                0.82344,                   2.18,             0.00021798,             0.00021798,             0.00021798
                     71,                0.92363,                0.64596,                 1.2072,                0.85945,                0.82762,                0.87738,                0.45947,                 1.8616,                0.94573,                 2.1543,             0.00021137,             0.00021137,             0.00021137
                     72,                0.89762,                0.63169,                 1.1862,                0.85956,                0.85275,                0.86569,                0.46108,                 1.7774,                0.83004,                 2.1763,             0.00020477,             0.00020477,             0.00020477
                     73,                0.88842,                0.65546,                 1.1888,                 0.8553,                 0.8728,                0.87623,                0.47217,                 1.7884,                0.81599,                 2.1784,             0.00019817,             0.00019817,             0.00019817
                     74,                0.88305,                0.62157,                 1.1877,                0.86732,                0.86931,                0.88371,                0.47053,                  1.811,                0.82307,                 2.1995,             0.00019156,             0.00019156,             0.00019156
                     75,                0.86935,                0.61785,                 1.1791,                0.88376,                0.80888,                0.86678,                0.46345,                 1.8285,                0.81149,                 2.1984,             0.00018496,             0.00018496,             0.00018496
                     76,                0.88267,                  0.624,                 1.1857,                0.86793,                0.84627,                0.87574,                0.46025,                 1.8138,                 0.8159,                 2.1957,             0.00017836,             0.00017836,             0.00017836
                     77,                0.86304,                0.59821,                 1.1643,                0.88752,                0.83686,                0.87917,                0.46188,                 1.8032,                0.80701,                 2.1834,             0.00017175,             0.00017175,             0.00017175
                     78,                0.85165,                0.59363,                 1.1641,                0.85266,                0.84942,                0.86881,                0.46369,                 1.8125,                0.78898,                 2.2199,             0.00016515,             0.00016515,             0.00016515
                     79,                0.84602,                 0.5956,                 1.1609,                 0.8602,                0.83835,                0.87095,                0.46497,                 1.8175,                0.82456,                 2.2075,             0.00015855,             0.00015855,             0.00015855
